id    , name     , moneda      , estado    , producto                                                                                                                             , cantidad   , precio_unitario
""    , ""       , ""          , ""        , "  └─ Pedestal 1170 Intergared Secundario - Sensormatic  negro"                                                                      , "5.0"      , "734.4051"
"1700", "PO01697", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Etiqueta Dura AMT42 SENSORMATIC"                                                                                               , "80000.0"  , "0.1422"
"1699", "PO01696", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ DESACTIVADOR ELECTRONICO AMB 2011 - SENSORMATIC"                                                                               , "80.0"     , "284.05"
"1693", "PO01690", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Monitor LED 32` SAMSUNG LS32CG552EN"                                                                                           , "2.0"      , "245.0"
"1690", "PO01687", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ MODULO EXPANSOR DE 8 ZONAS CABLEADAS NEO"                                                                                      , "3.0"      , "34.0"
""    , ""       , ""          , ""        , "  └─ Gabinete metalico P/PC 1832/1864 - DSC"                                                                                        , "3.0"      , "17.0"
""    , ""       , ""          , ""        , "  └─ Humo test"                                                                                                                     , "5.0"      , "18.0"
""    , ""       , ""          , ""        , "  └─ Placa HS2032 de 8 expandible a 32 zonas cableadas o inalambricas + Teclado HS2INC LCD a Icono"                                 , "10.0"     , "123.0"
"1682", "PO01679", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ MONITOR INTERACTIVO LED de 86” UNV"                                                                                            , "4.0"      , "890.0"
""    , ""       , ""          , ""        , "  └─ MONITOR INTERACTIVO LED de 65” UNV"                                                                                            , "3.0"      , "710.0"
""    , ""       , ""          , ""        , "  └─ Conector USB Alámbrico (Dongle) para Monitor Interactivo - UNV"                                                                , "7.0"      , "50.0"
""    , ""       , ""          , ""        , "  └─ SOPORTE PARA MONITOR UNV"                                                                                                      , "4.0"      , "82.0"
""    , ""       , ""          , ""        , "  └─ Bullet analógica de 2MP Color Hunter UNV"                                                                                      , "1.0"      , "0.0"
"1681", "PO01678", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Reloj Marcador biométrico ZK F22"                                                                                              , "1.0"      , "250.0"
"1680", "PO01677", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Etiquetas de contenedor exterior 2022"                                                                                         , "4.0"      , "0.0"
""    , ""       , ""          , ""        , "  └─ Etiquetas cargo para exterior"                                                                                                 , "4.0"      , "0.0"
""    , ""       , ""          , ""        , "  └─ Etiquetas RTI para exterior"                                                                                                   , "4.0"      , "0.0"
""    , ""       , ""          , ""        , "  └─ Gastos de envio.-"                                                                                                             , "1.0"      , "60.0"
""    , ""       , ""          , ""        , "  └─ Etiquetas POD TRAK 115"                                                                                                        , "5.0"      , "0.0"
""    , ""       , ""          , ""        , "  └─ Etiquetas POD TRAK 85"                                                                                                         , "5.0"      , "0.0"
